MU_code,management_unit,site_number,year,timesincelogging,timeframe,forest_type ,x,y,100m_buffer,200m_buffer,500m_buffer,1000m_buffer,avg_treesharvest,avg_skidtrail,avg_feeder,avg_secondary
E6-1Logged,E6,1,2013,1,post1,greenheart ,310504,508982,0,10,79,274,90.75,0.19,0.35,0.71
E6-1Logged2,E6,2,2020,10,post10,greenheart ,310504,508982,0,10,79,274,90.75,0.19,0.35,0.71
E6-1Plogged,E6,3,2009,0,pre_logged,greenheart ,310504,508982,0,0,0,0,0,0.19,0.35,0.71
E6-2Logged,E6,4,2013,1,post1,greenheart ,310490,507982,1,22,186,542,187.75,0.19,0.35,0.71
E6-2Logged2,E6,5,2020,10,post10,greenheart ,310490,507982,1,22,186,542,187.75,0.19,0.35,0.71
E6-2Plogged,E6,6,2009,0,pre_logged,greenheart ,310490,507982,0,0,0,0,0,0.19,0.35,0.71
K39-1Logged,K39,7,2012,1,post1,general_mixed,305002,510025,14,32,102,348,124,0.18,0.65,0.54
K39-1Logged2,K39,8,2020,10,post10,general_mixed,305002,510025,14,32,102,348,124,0.18,0.65,0.54
K39-1Plogged,K39,9,2009,0,pre_logged,general_mixed,305002,510025,0,0,0,0,0,0.18,0.65,0.54
K39-2Logged,K39,10,2012,1,post1,general_mixed,304001,510016,7,43,205,843,274.5,0.18,0.65,0.54
K39-2Logged2,K39,11,2020,10,post10,general_mixed,304001,510016,7,43,205,843,274.5,0.18,0.65,0.54
K39-2Plogged,K39,12,2009,0,pre_logged,general_mixed,304001,510016,0,0,0,0,0,0.18,0.65,0.54
K39-3Logged,K39,13,2012,1,post1,general_mixed,303001,510017,16,49,242,414,180.25,0.18,0.65,0.54
K39-3Logged2,K39,14,2020,10,post10,general_mixed,303001,510017,16,49,242,414,180.25,0.18,0.65,0.54
K39-3Plogged,K39,15,2009,0,pre_logged,general_mixed,303001,510017,0,0,0,0,0,0.18,0.65,0.54
K39-4Logged,K39,16,2012,1,post1,greenheart,302017,510004,14,33,113,414,143.5,0.18,0.65,0.54
K39-4Logged2,K39,17,2020,10,post10,greenheart,302017,510004,14,33,113,414,143.5,0.18,0.65,0.54
K39-4Plogged,K39,18,2009,0,pre_logged,greenheart,302017,510004,0,0,0,0,0,0.18,0.65,0.54
K41-1Logged,K41,19,2011,1,post1,soft_wallaba,307997,510429,0,4,130,445,144.75,0.22,0.32,0.61
K41-1Logged2,K41,20,2020,10,post10,soft_wallaba,307997,510429,0,4,130,445,144.75,0.22,0.32,0.61
K41-1Plogged,K41,21,2008,0,pre_logged,soft_wallaba,307997,510429,0,0,0,0,0,0.22,0.32,0.61
K41-2Logged,K41,22,2011,1,post1,greenheart_mixed,306988,510437,5,12,272,765,263.5,0.22,0.32,0.61
K41-2Logged2,K41,23,2020,10,post10,greenheart_mixed,306988,510437,5,12,272,765,263.5,0.22,0.32,0.61
K41-2Plogged,K41,24,2008,0,pre_logged,greenheart_mixed,306988,510437,0,0,0,0,0,0.22,0.32,0.61
K41-3Logged,K41,25,2011,1,post1,greenheart_mixed,305997,510436,14,39,207,635,223.75,0.22,0.32,0.61
K41-3Logged2,K41,26,2020,10,post10,greenheart_mixed,305997,510436,14,39,207,635,223.75,0.22,0.32,0.61
K41-3Plogged,K41,27,2008,0,pre_logged,greenheart_mixed,305997,510436,0,0,0,0,0,0.22,0.32,0.61
K41-4Logged,K41,28,2011,1,post1,morei_scrub,305016,510432,0,10,108,341,114.75,0.22,0.32,0.61
K41-4Logged2,K41,29,2020,10,post10,morei_scrub,305016,510432,0,10,108,341,114.75,0.22,0.32,0.61
K41-4Plogged,K41,30,2008,0,pre_logged,morei_scrub,305016,510432,0,0,0,0,0,0.22,0.32,0.61
K43-1Logged,K43,31,2012,1,post1,general_mixed,306639,508039,4,10,75,370,114.75,0.19,0.25,0
K43-1Logged2,K43,32,2020,10,post10,general_mixed,306639,508039,4,10,75,370,114.75,0.19,0.25,0
K43-1Plogged,K43,33,2010,0,pre_logged,general_mixed,306639,508039,0,0,0,0,0,0.19,0.25,0
K43-2Logged,K43,34,2012,1,post1,general_mixed,305638,508026,1,9,163,573,186.5,0.19,0.25,0
K43-2Logged2,K43,35,2020,10,post10,general_mixed,305638,508026,1,9,163,573,186.5,0.19,0.25,0
K43-2Plogged,K43,36,2010,0,pre_logged,general_mixed,305638,508026,0,0,0,0,0,0.19,0.25,0
K43-3Logged,K43,37,2012,1,post1,general_mixed,304687,508035,6,32,175,645,214.5,0.19,0.25,0
K43-3Logged2,K43,38,2020,10,post10,general_mixed,304687,508035,6,32,175,645,214.5,0.19,0.25,0
K43-3Plogged,K43,39,2010,0,pre_logged,general_mixed,304687,508035,0,0,0,0,0,0.19,0.25,0
K43-4Logged,K43,40,2012,1,post1,general_mixed,303668,508016,3,36,243,719,250.25,0.19,0.25,0
K43-4Logged2,K43,41,2020,10,post10,general_mixed,303668,508016,3,36,243,719,250.25,0.19,0.25,0
K43-4Plogged,K43,42,2010,0,pre_logged,general_mixed,303668,508016,0,0,0,0,0,0.19,0.25,0
